day,twoAxisWheelPower,2020_twoAxisWheelPower,2021_twoAxisWheelPower
01,0.0,,321763.0
02,0.0,137373.0,466060.0
03,0.0,140192.0,485931.0
04,0.0,126239.0,646127.0
05,0.0,129851.0,122284.0
06,0.0,342279.0,201395.0
07,0.0,344157.0,256325.0
08,0.0,393877.0,262860.0
09,0.0,593929.0,338784.0
10,0.0,432257.0,329498.0
11,0.0,460387.0,377567.0
12,0.0,320352.0,309933.0
13,0.0,354452.0,193605.0
14,0.0,472354.0,1977.0
15,0.0,157087.0,567040.0
15,1.0,14711.0,
16,0.0,224674.0,342892.0
17,0.0,308093.0,430154.0
18,0.0,496671.0,320597.0
19,0.0,393982.0,465997.0
20,0.0,111872.0,323487.0
21,0.0,304081.0,357116.0
22,0.0,121641.0,452409.0
23,0.0,265124.0,389493.0
24,0.0,212975.0,358223.0
25,0.0,6858.0,319328.0
26,0.0,15004.0,537333.0
27,0.0,106592.0,510352.0
28,0.0,401154.0,332501.0
29,0.0,30962.0,324893.0
30,0.0,100161.0,178622.0
31,0.0,12089.0,76122.0
